Assessmentyear,Year,SSB,SSB_SD,SSB_LOW,SSB_UPP,R,R_SD,R_LOW,R_UPP,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,Favg,Fmsy,Bmsy,F.Fmsy,B.Bmsy,assessmenttype
2013,1982,10805.7,494.923,9860.34,11841.8,41639.7,3451.87,35287.9,49134.8,0,0.01,0.03,0.04,0.09,0.23,0.48,0.59,0.3,0.2,0.2,0.2,0.2,0.59,3359.1556,0.333936374,3.216790553,assessment
2013,1983,11091.8,447.954,10231.5,12024.5,30499.2,2994.17,25073.9,37098.4,0,0.01,0.02,0.02,0.06,0.16,0.36,0.48,0.27,0.19,0.19,0.19,0.16,0.74,3285.94172,0.217489038,3.375531566,assessment
2013,1984,11121.7,420.651,10311.7,11995.3,62802.3,4471.94,54475.9,72401.4,0,0.01,0.03,0.04,0.1,0.26,0.55,0.69,0.37,0.26,0.26,0.26,0.24,0.66,3306.21495,0.356102802,3.363876871,assessment
2013,1985,11553.8,408.575,10765.1,12400.2,82160.4,5572.64,71749.2,94082.4,0,0.01,0.02,0.04,0.1,0.25,0.53,0.68,0.38,0.23,0.23,0.23,0.22,0.69,3400.98444,0.326359438,3.397192843,assessment
2013,1986,13158.8,421.606,12342.3,14029.4,41291.1,4419.01,33355.2,51115.1,0,0,0.01,0.02,0.07,0.19,0.42,0.58,0.35,0.19,0.19,0.19,0.18,0.59,4034.07503,0.312597577,3.261912558,assessment
2013,1987,14918.8,465.597,14016.3,15879.4,33997.2,4390.35,26286.8,43969.2,0,0.01,0.03,0.04,0.08,0.16,0.34,0.55,0.5,0.49,0.49,0.49,0.27,0.5,4716.71094,0.527253493,3.162966777,assessment
2013,1988,15495.8,498.941,14529.6,16526.2,36527.4,4389.53,28748.4,46411.3,0,0.01,0.04,0.05,0.09,0.17,0.37,0.61,0.57,0.57,0.57,0.57,0.3,0.59,4193.71565,0.508292392,3.69500493,assessment
2013,1989,15050.3,498.283,14086.3,16080.3,34062.2,4051.72,26873,43174.6,0,0.01,0.05,0.05,0.08,0.17,0.36,0.59,0.56,0.56,0.56,0.56,0.3,0.65,3852.88287,0.45232127,3.906243846,assessment
2013,1990,14228.3,478.955,13302.1,15218.9,35029.2,4011.2,27879.9,44011.7,0,0.02,0.06,0.06,0.08,0.15,0.32,0.53,0.51,0.5,0.5,0.5,0.27,0.6,3856.1108,0.452878399,3.689805801,assessment
2013,1991,13098.1,449.849,12228.9,14029.2,31495,3667.97,24970.4,39724.6,0,0.02,0.05,0.06,0.09,0.15,0.31,0.53,0.54,0.54,0.54,0.54,0.28,0.5,4381.07653,0.554158698,2.989698972,assessment
2013,1992,11908.6,412.102,11112.5,12761.8,32590.2,3551.71,26224.5,40501.1,0,0.02,0.08,0.17,0.23,0.26,0.25,0.3,0.42,0.63,0.63,0.63,0.3,0.32,4795.3512,0.952152804,2.483363471,assessment
2013,1993,10801.5,371.291,10084.1,11569.9,24117.2,2723.09,19255.9,30205.7,0,0.02,0.09,0.17,0.22,0.25,0.23,0.27,0.38,0.58,0.58,0.58,0.28,0.28,5084.63839,1.006580824,2.124339859,assessment
2013,1994,9271.32,317.788,8657.22,9928.99,25647.4,2540.43,21048.3,31251.3,0,0.02,0.1,0.2,0.27,0.31,0.29,0.35,0.5,0.76,0.76,0.76,0.36,0.3,5042.29999,1.197001577,1.83870853,assessment
