"year","length_cm","proportion","ridge_height"
1993,38,0.001332153,0.00577140579543756
1993,39,0.001982599,0.00858939127760003
1993,40,0.001372806,0.00594753042962141
1993,41,8.94672e-05,0.000387606766326069
1993,42,0.0004534955,0.00196471918533746
1993,43,0.000380967,0.00165049746663518
1993,44,0,0
1993,45,0,0
1993,46,0,0
1993,47,0,0
1993,48,0,0
1993,49,0,0
1993,50,0,0
1994,10,0.00288921,0.0156335933872921
1994,11,0.009193969,0.0497488147145304
1994,12,0.01352123,0.0731637409243549
1994,13,0.00899607,0.0486779778775571
1994,14,0.002031746,0.0109938325113983
1994,15,9.924766e-05,0.000537031770304067
1994,16,0,0
1994,17,0,0
1994,18,0,0
1994,19,0,0
1994,20,0,0
1994,21,0,0
1994,22,0.0003347001,0.00181107128595222
1994,23,0.002595043,0.0140418478007963
1994,24,0.01187932,0.0642793215437877
1994,25,0.06037655,0.326699143650863
1994,26,0.1646116,0.890717816022917
1994,27,0.1848078,1
1994,28,0.08862011,0.479525810057801
1994,29,0.0590604,0.319577420433553
1994,30,0.05267636,0.285033207472845
1994,31,0.05766617,0.312033204226229
1994,32,0.06304879,0.341158706504812
1994,33,0.05720838,0.309556090165026
1994,34,0.04683983,0.25345158591791
1994,35,0.04253909,0.230180165555783
1994,36,0.01767443,0.0956368183593983
1994,37,0.009754882,0.0527839301155038
1994,38,0.01028838,0.055670702210621
1994,39,0.006046954,0.0327202315053802
1994,40,0.007447151,0.0402967353109555
1994,41,0.005160282,0.0279224253521767
1994,42,0.003024222,0.0163641469678228
1994,43,0.002601302,0.0140757154189379
1994,44,0.00226541,0.0122581947298761
1994,45,0.001950976,0.0105567838586899
1994,46,0.001506597,0.00815223708090243
1994,47,0.001799274,0.00973592023713285
1994,48,0.0002923782,0.00158206634135572
1994,49,0.001192164,0.00645083162074328
1994,50,0,0
1995,10,0.001375149,0.0102170307993385
1995,11,0.0110353,0.0819896607421738
1995,12,0.03892147,0.289177287512501
1995,13,0.08816852,0.655071184556792
1995,14,0.08944987,0.664591311041073
1995,15,0.03987354,0.296250941722427
1995,16,0.04709781,0.349925553777366
1995,17,0.02212012,0.164347243335131
1995,18,0.0109646,0.0814643765166003
1995,19,0.02218311,0.164815244089995
1995,20,0.04945447,0.367434978431399
1995,21,0.04526878,0.336336294836761
1995,22,0.01685142,0.125202052397659
1995,23,0.02348069,0.174455955623513
1995,24,0.1027428,0.76335462703334
1995,25,0.1345938,1
1995,26,0.07589671,0.563894547891508
1995,27,0.04108749,0.30527030219817
1995,28,0.02301029,0.170960995231578
1995,29,0.0464907,0.345414870521525
1995,30,0.04183214,0.310802875020989
1995,31,0.02401132,0.178398410625155
1995,32,0.00408996,0.0303874324077335
1995,33,0,0
1995,34,0,0
1995,35,0,0
1995,36,0,0
1995,37,0,0
1995,38,0,0
1995,39,0,0
1995,40,0,0
1995,41,0,0
1995,42,0,0
1995,43,0,0
1995,44,0,0
1995,45,0,0
1995,46,0,0
1995,47,0,0
1995,48,0,0
1995,49,0,0
1995,50,0,0
1996,10,0.002972535,0.0237962710941753
1996,11,0.009258947,0.0741213855711038
1996,12,0.02776184,0.222244068013705
1996,13,0.05385678,0.431143968746998
1996,14,0.06314314,0.50548480578949
1996,15,0.04971768,0.398008901982132
1996,16,0.05193453,0.415755627781869
1996,17,0.05125646,0.410327420026258
1996,18,0.02181879,0.174667696692177
1996,19,0.01360608,0.108921835473438
1996,20,0.03306779,0.264720211982452
1996,21,0.04757758,0.380876589067854
1996,22,0.06892951,0.551806894232925
1996,23,0.1093591,0.87546110986583
1996,24,0.124916,1
1996,25,0.06812997,0.545406273015466
1996,26,0.02419722,0.193707931730123
1996,27,0.02080486,0.166550802139037
1996,28,0.02932428,0.234751993339524
1996,29,0.03668694,0.293692881616446
1996,30,0.03347203,0.267956306638061
1996,31,0.0389338,0.311679848858433
1996,32,0.01656217,0.132586458099843
1996,33,0.002134904,0.0170907169617983
1996,34,0,0
1996,35,0.0004296354,0.00343939447308591
1996,36,0.0001474437,0.00118034279035512
1996,37,0,0
1996,38,0,0
1996,39,0,0
1996,40,0,0
1996,41,0,0
1996,42,0,0
1996,43,0,0
1996,44,0,0
1996,45,0,0
1996,46,0,0
1996,47,0,0
1996,48,0,0
1996,49,0,0
1996,50,0,0
1997,10,0,0
1997,11,0,0
1997,12,0,0
1997,13,0.0002196096,0.000882145882715878
1997,14,7.61609e-05,0.000305929359913846
1997,15,0.002734398,0.0109837545235114
1997,16,0.01378054,0.0553548051751903
1997,17,0.01657453,0.0665779337399221
1997,18,0.01309361,0.0525954883183042
1997,19,0.07566415,0.303933973704686
1997,20,0.2303855,0.925431403100953
1997,21,0.2489493,1
1997,22,0.1574965,0.632644879901249
1997,23,0.09325067,0.374576952013924
1997,24,0.04457113,0.179036976605277
1997,25,0.02351553,0.094459112759104
1997,26,0.00992724,0.0398765531776952
1997,27,0.004759982,0.0191202867411156
1997,28,0.006107365,0.0245325654661411
1997,29,0.02206093,0.0886161559803542
1997,30,0.02445756,0.0982431362530443
1997,31,0.009838953,0.0395219147031142
1997,32,0.002067436,0.00830464676944261
1997,33,0.0004689441,0.00188369318572095
1997,34,0,0
1997,35,0,0
1997,36,0,0
1997,37,0,0
1997,38,0,0
1997,39,0,0
1997,40,0,0
1997,41,0,0
1997,42,0,0
1997,43,0,0
1997,44,0,0
1997,45,0,0
1997,46,0,0
1997,47,0,0
1997,48,0,0
1997,49,0,0
1997,50,0,0
1998,10,0,0
1998,11,0,0
1998,12,0,0
1998,13,0,0
1998,14,0,0
1998,15,0,0
1998,16,0.0008470378,0.00364487897992695
1998,17,0.07621016,0.327939095800529
1998,18,0.2323912,1
1998,19,0.1989025,0.855895145771441
1998,20,0.05373264,0.231216328329128
1998,21,0.01731844,0.0745227874377343
1998,22,0.006014811,0.025882266626275
1998,23,0.002895301,0.0124587376802564
1998,24,0.01929162,0.083013556451363
1998,25,0.05530107,0.237965422098599
1998,26,0.03855363,0.165899698439528
1998,27,0.01155618,0.0497272702236573
1998,28,0.002731103,0.0117521790842338
1998,29,0.004155005,0.0178793560169232
1998,30,0.02006052,0.0863222015291457
1998,31,0.03992416,0.17179721090988
1998,32,0.03787564,0.162982247176313
1998,33,0.03508631,0.15097951213299
1998,34,0.03087513,0.13285843009546
1998,35,0.03221961,0.138643847099202
1998,36,0.03142901,0.135241824991652
