row_id	cm	value	cum_value	total	cum_prop
Row 02	46	1318.721707	70544.591014739	76050.96421403	0.927596273680444
Row 02	47	991.3820194	71535.973034139	76050.96421403	0.94063203239364
Row 02	48	803.2533116	72339.226345739	76050.96421403	0.95119407220341
Row 02	49	710.5860061	73049.812351839	76050.96421403	0.960537622458739
Row 02	50	540.326233	73590.138584839	76050.96421403	0.967642413812592
Row 02	51	503.8821818	74094.020766639	76050.96421403	0.974267999523536
Row 02	52	403.9080462	74497.928812839	76050.96421403	0.979579017606926
Row 02	53	446.5186249	74944.447437739	76050.96421403	0.985450325479412
Row 02	54	354.3346394	75298.782077139	76050.96421403	0.990109499009452
Row 02	55	306.9225828	75605.704659939	76050.96421403	0.994145247746789
Row 02	56	225.0562713	75830.760931239	76050.96421403	0.997104530033685
Row 02	57	99.22165947	75929.982590709	76050.96421403	0.99840920329451
Row 02	58	40.33439736	75970.316988069	76050.96421403	0.998939563399433
Row 02	59	33.52786795	76003.844856019	76050.96421403	0.999380423923642
Row 02	60	9.525749362	76013.370605381	76050.96421403	0.999505678737443
Row 02	61	8.920782604	76022.291387985	76050.96421403	0.999622978796636
Row 02	62	8.63237008	76030.923758065	76050.96421403	0.999736486497284
Row 02	63	12.71945801	76043.643216075	76050.96421403	0.999903735632669
Row 02	64	1.639322309	76045.282538384	76050.96421403	0.999925291208275
Row 02	65	2.352824805	76047.635363189	76050.96421403	0.999956228683286
Row 02	66	1.293962012	76048.929325201	76050.96421403	0.999973243089683
Row 02	67	0.874736252	76049.804061453	76050.96421403	0.999984745064195
Row 02	68	0.707083503	76050.511144956	76050.96421403	0.999994042559767
Row 02	69	0.399998789	76050.911143745	76050.96421403	0.999999302174725
Row 02	70	0.053070285	76050.96421403	76050.96421403	1
Row 02	71	0	76050.96421403	76050.96421403	1
Row 02	72	0	76050.96421403	76050.96421403	1
Row 02	73	0	76050.96421403	76050.96421403	1
Row 02	74	0	76050.96421403	76050.96421403	1
Row 02	75	0	76050.96421403	76050.96421403	1
Row 02	76	0	76050.96421403	76050.96421403	1
Row 02	77	0	76050.96421403	76050.96421403	1
Row 02	78	0	76050.96421403	76050.96421403	1
Row 02	79	0	76050.96421403	76050.96421403	1
Row 02	80	0	76050.96421403	76050.96421403	1
Row 02	81	0	76050.96421403	76050.96421403	1
Row 02	82	0	76050.96421403	76050.96421403	1
Row 02	83	0	76050.96421403	76050.96421403	1
Row 02	84	0	76050.96421403	76050.96421403	1
Row 02	85	0	76050.96421403	76050.96421403	1
Row 02	86	0	76050.96421403	76050.96421403	1
Row 02	87	0	76050.96421403	76050.96421403	1
Row 02	88	0	76050.96421403	76050.96421403	1
Row 02	89	0	76050.96421403	76050.96421403	1
Row 02	90	0	76050.96421403	76050.96421403	1
Row 03	5	0	0	279029.247100251	0
Row 03	6	0	0	279029.247100251	0
Row 03	7	0	0	279029.247100251	0
Row 03	8	0	0	279029.247100251	0
Row 03	9	0	0	279029.247100251	0
Row 03	10	0	0	279029.247100251	0
Row 03	11	0	0	279029.247100251	0
Row 03	12	0	0	279029.247100251	0
Row 03	13	0	0	279029.247100251	0
Row 03	14	0	0	279029.247100251	0
Row 03	15	0	0	279029.247100251	0
Row 03	16	0	0	279029.247100251	0
Row 03	17	0	0	279029.247100251	0
Row 03	18	0	0	279029.247100251	0
Row 03	19	0	0	279029.247100251	0
Row 03	20	0.056926678	0.056926678	279029.247100251	2.04016885654811e-07
Row 03	21	0.304808986	0.361735664	279029.247100251	1.29640769833004e-06
Row 03	22	3.438926381	3.800662045	279029.247100251	1.36210167374837e-05
Row 03	23	17.67059593	21.471257975	279029.247100251	7.69498473659491e-05
Row 03	24	15.84324995	37.314507925	279029.247100251	0.000133729737340378
Row 03	25	3.182948366	40.497456291	279029.247100251	0.000145136958623014
Row 03	26	23.66981003	64.167266321	279029.247100251	0.000229966094908845
Row 03	27	1234.134567	1298.301833321	279029.247100251	0.00465292383079305
Row 03	28	17637.85855	18936.160383321	279029.247100251	0.0678644284787735
Row 03	29	48778.51827	67714.678653321	279029.247100251	0.242679501726183
Row 03	30	61251.61977	128966.298423321	279029.247100251	0.462196345951453
Row 03	31	45565.00547	174531.303893321	279029.247100251	0.625494659456306
Row 03	32	29926.91629	204458.220183321	279029.247100251	0.732748349171663
Row 03	33	18691.92695	223150.147133321	279029.247100251	0.79973748075644
Row 03	34	8561.467679	231711.614812321	279029.247100251	0.830420528386655
Row 03	35	6606.664857	238318.279669321	279029.247100251	0.854097848687872
Row 03	36	4584.496713	242902.776382321	279029.247100251	0.8705280142015
Row 03	37	2530.633864	245433.410246321	279029.247100251	0.879597435741711
Row 03	38	4040.353313	249473.763559321	279029.247100251	0.894077470917193
Row 03	39	3307.261005	252781.024564321	279029.247100251	0.905930210511232
Row 03	40	1942.146463	254723.171027321	279029.247100251	0.912890579301183
Row 03	41	1210.264218	255933.435245321	279029.247100251	0.917227989198451
Row 03	42	1612.036713	257545.471958321	279029.247100251	0.923005292939019
Row 03	43	1870.043262	259415.515220321	279029.247100251	0.929707254405188
Row 03	44	1537.616035	260953.131255321	279029.247100251	0.935217845323449
Row 03	45	1120.380161	262073.511416321	279029.247100251	0.939233123910348
Row 03	46	922.9448933	262996.456309621	279029.247100251	0.942540823382326
Row 03	47	459.7667927	263456.223102321	279029.247100251	0.944188560304093
Row 03	48	880.5859859	264336.809088221	279029.247100251	0.947344451649002
Row 03	49	799.7726647	265136.581752921	279029.247100251	0.950210719873611
Row 03	50	1166.189282	266302.771034921	279029.247100251	0.95439017164836
Row 03	51	1321.514738	267624.285772921	279029.247100251	0.959126287133505
Row 03	52	1688.974236	269313.260008921	279029.247100251	0.965179323700647
Row 03	53	1627.88083	270941.140838921	279029.247100251	0.97101341043857
Row 03	54	1396.224669	272337.365507921	279029.247100251	0.976017275386456
Row 03	55	1870.682791	274208.048298921	279029.247100251	0.982721528830998
Row 03	56	2287.121275	276495.169573921	279029.247100251	0.990918236877801
Row 03	57	955.2803623	277450.449936221	279029.247100251	0.994341821940039
Row 03	58	329.4785299	277779.928466121	279029.247100251	0.995522624788931
Row 03	59	289.9915884	278069.920054521	279029.247100251	0.996561912216373
Row 03	60	306.8328129	278376.752867421	279029.247100251	0.997661556128575
Row 03	61	257.9969673	278634.749834721	279029.247100251	0.998586179514765
Row 03	62	190.8977288	278825.647563521	279029.247100251	0.999270329046701
Row 03	63	67.63507956	278893.282643081	279029.247100251	0.999512723276922
Row 03	64	36.32985314	278929.612496221	279029.247100251	0.999642924155567
Row 03	65	24.88892273	278954.501418951	279029.247100251	0.999732122413415
Row 03	66	21.57402914	278976.075448091	279029.247100251	0.999809440577601
Row 03	67	10.65980327	278986.735251361	279029.247100251	0.999847643753005
Row 03	68	4.098695829	278990.83394719	279029.247100251	0.999862332879223
Row 03	69	5.909860087	278996.743807277	279029.247100251	0.99988351295317
Row 03	70	0.874832634	278997.618639911	279029.247100251	0.999886648225343
Row 03	71	11.30148574	279008.920125651	279029.247100251	0.999927151096843
Row 03	72	20.3269746	279029.247100251	279029.247100251	1
Row 03	73	0	279029.247100251	279029.247100251	1
Row 03	74	0	279029.247100251	279029.247100251	1
Row 03	75	0	279029.247100251	279029.247100251	1
Row 03	76	0	279029.247100251	279029.247100251	1
Row 03	77	0	279029.247100251	279029.247100251	1
Row 03	78	0	279029.247100251	279029.247100251	1
Row 03	79	0	279029.247100251	279029.247100251	1
Row 03	80	0	279029.247100251	279029.247100251	1
Row 03	81	0	279029.247100251	279029.247100251	1
Row 03	82	0	279029.247100251	279029.247100251	1
Row 03	83	0	279029.247100251	279029.247100251	1
Row 03	84	0	279029.247100251	279029.247100251	1
Row 03	85	0	279029.247100251	279029.247100251	1
Row 03	86	0	279029.247100251	279029.247100251	1
Row 03	87	0	279029.247100251	279029.247100251	1
Row 03	88	0	279029.247100251	279029.247100251	1
Row 03	89	0	279029.247100251	279029.247100251	1
Row 03	90	0	279029.247100251	279029.247100251	1
Row 04	5	0	0	79913.637352406	0
Row 04	6	0	0	79913.637352406	0
Row 04	7	0	0	79913.637352406	0
Row 04	8	0	0	79913.637352406	0
Row 04	9	0	0	79913.637352406	0
Row 04	10	0	0	79913.637352406	0
Row 04	11	0	0	79913.637352406	0
Row 04	12	0	0	79913.637352406	0
Row 04	13	0	0	79913.637352406	0
Row 04	14	0	0	79913.637352406	0
Row 04	15	0.284778029	0.284778029	79913.637352406	3.56357235679532e-06
Row 04	16	11.26704325	11.551821279	79913.637352406	0.000144553816616535
Row 04	17	55.06956377	66.621385049	79913.637352406	0.000833667284536313
Row 04	18	65.75401492	132.375399969	79913.637352406	0.00165648072537665
Row 04	19	76.54397256	208.919372529	79913.637352406	0.00261431439552301
Row 04	20	70.97552663	279.894899159	79913.637352406	0.00350246726881808
Row 04	21	35.55172585	315.446625009	79913.637352406	0.00394734410120681
Row 04	22	47.27853246	362.725157469	79913.637352406	0.00453896443068211
Row 04	23	79.78598945	442.511146919	79913.637352406	0.00553736710753884
Row 04	24	308.2004359	750.711582819	79913.637352406	0.00939403595794902
Row 04	25	887.3622294	1638.073812219	79913.637352406	0.0204980509771488
Row 04	26	882.9687282	2521.042540419	79913.637352406	0.0315470878806532
Row 04	27	746.1965275	3267.239067919	79913.637352406	0.0408846246543755
Row 04	28	1998.195366	5265.434433919	79913.637352406	0.0658890598446833
Row 04	29	2932.935216	8198.369649919	79913.637352406	0.102590370323973
