year	cm	value	prop	cum_prop	total
1999	20	49067.93485	0.0510472800271894	0.118125176808701	961225.25673973
1999	21	69010.37494	0.0717941756691542	0.189919352477856	961225.25673973
1999	22	99515.61133	0.10352995890634	0.293449311384195	961225.25673973
1999	23	112270.4608	0.11679932462532	0.410248636009515	961225.25673973
1999	24	118104.4126	0.122868611464273	0.533117247473788	961225.25673973
1999	25	113169.4998	0.117734629845086	0.650851877318874	961225.25673973
1999	26	125631.9286	0.130699778973886	0.781551656292761	961225.25673973
1999	27	97238.29956	0.101160782946769	0.88271243923953	961225.25673973
1999	28	46216.49905	0.0480808205214628	0.930793259760992	961225.25673973
1999	29	21713.35678	0.0225892491148714	0.953382508875864	961225.25673973
1999	30	14445.67353	0.0150283957154815	0.968410904591345	961225.25673973
1999	31	7902.820797	0.00822161167904043	0.976632516270386	961225.25673973
1999	32	4940.4896	0.00513978338101215	0.981772299651398	961225.25673973
1999	33	3933.314908	0.00409198039733263	0.98586428004873	961225.25673973
1999	34	2663.318234	0.00277075348918047	0.988635033537911	961225.25673973
1999	35	1908.848923	0.00198584973669378	0.990620883274605	961225.25673973
1999	36	2636.649033	0.00274300848267653	0.993363891757281	961225.25673973
1999	37	1682.113146	0.00174996769405058	0.995113859451332	961225.25673973
1999	38	729.093326	0.000758504128858337	0.99587236358019	961225.25673973
1999	39	1093.77512	0.00113789677531971	0.99701026035551	961225.25673973
1999	40	797.459784	0.000829628412704024	0.997839888768214	961225.25673973
1999	41	507.5433393	0.00052801706544986	0.998367905833664	961225.25673973
1999	42	459.4359911	0.000477969121055254	0.998845874954719	961225.25673973
1999	43	286.7991886	0.000298368344557197	0.999144243299276	961225.25673973
1999	44	310.3567833	0.000322876226070738	0.999467119525347	961225.25673973
1999	45	177.1494179	0.000184295425716187	0.999651414951063	961225.25673973
1999	46	75.68506986	7.87381202577922e-05	0.999730153071321	961225.25673973
1999	47	0	0	0.999730153071321	961225.25673973
1999	48	143.5338709	0.000149323865445272	0.999879476936766	961225.25673973
1999	49	115.8498124	0.000120523063233833	1	961225.25673973
1999	50	0	0	1	961225.25673973
1999	51	0	0	1	961225.25673973
1999	52	0	0	1	961225.25673973
1999	53	0	0	1	961225.25673973
1999	54	0	0	1	961225.25673973
1999	55	0	0	1	961225.25673973
1999	56	0	0	1	961225.25673973
1999	57	0	0	1	961225.25673973
1999	58	0	0	1	961225.25673973
1999	59	0	0	1	961225.25673973
1999	60	0	0	1	961225.25673973
1999	61	0	0	1	961225.25673973
1999	62	0	0	1	961225.25673973
1999	63	0	0	1	961225.25673973
1999	64	0	0	1	961225.25673973
1999	65	0	0	1	961225.25673973
1999	66	0	0	1	961225.25673973
1999	67	0	0	1	961225.25673973
1999	68	0	0	1	961225.25673973
1999	69	0	0	1	961225.25673973
1999	70	0	0	1	961225.25673973
1999	71	0	0	1	961225.25673973
1999	72	0	0	1	961225.25673973
1999	73	0	0	1	961225.25673973
1999	74	0	0	1	961225.25673973
1999	75	0	0	1	961225.25673973
1999	76	0	0	1	961225.25673973
1999	77	0	0	1	961225.25673973
1999	78	0	0	1	961225.25673973
1999	79	0	0	1	961225.25673973
1999	80	0	0	1	961225.25673973
1999	81	0	0	1	961225.25673973
1999	82	0	0	1	961225.25673973
1999	83	0	0	1	961225.25673973
1999	84	0	0	1	961225.25673973
1999	85	0	0	1	961225.25673973
1999	86	0	0	1	961225.25673973
1999	87	0	0	1	961225.25673973
1999	88	0	0	1	961225.25673973
1999	89	0	0	1	961225.25673973
1999	90	0	0	1	961225.25673973
2000	5	0	0	0	1586530.2846302
2000	6	0	0	0	1586530.2846302
2000	7	0	0	0	1586530.2846302
2000	8	0	0	0	1586530.2846302
2000	9	0	0	0	1586530.2846302
2000	10	0	0	0	1586530.2846302
2000	11	19.88380135	1.25328848384604e-05	1.25328848384604e-05	1586530.2846302
2000	12	131.1514961	8.26656114733857e-05	9.51984963118461e-05	1586530.2846302
2000	13	456.9194672	0.000287999209108386	0.000383197705420232	1586530.2846302
2000	14	550.9817317	0.000347287245026292	0.000730484950446524	1586530.2846302
2000	15	443.4566615	0.000279513518144638	0.00100999846859116	1586530.2846302
2000	16	405.7862711	0.000255769634548504	0.00126576810313967	1586530.2846302
2000	17	5343.95504	0.00336832841564422	0.00463409651878388	1586530.2846302
2000	18	32033.32851	0.0201908080925582	0.024824904611342	1586530.2846302
2000	19	83685.265	0.0527473479773543	0.0775722525886963	1586530.2846302
2000	20	126945.9928	0.0800148563376398	0.157587108926336	1586530.2846302
2000	21	164282.1249	0.103548054828523	0.261135163754859	1586530.2846302
2000	22	142435.9064	0.08977824613868	0.350913409893539	1586530.2846302
2000	23	116566.8153	0.0734727955900132	0.424386205483552	1586530.2846302
2000	24	144664.5321	0.0911829629106133	0.515569168394166	1586530.2846302
2000	25	167515.7006	0.105586197895394	0.62115536628956	1586530.2846302
2000	26	141187.9152	0.0889916294493611	0.710146995738921	1586530.2846302
